05:17:53.238: Starting
05:17:53.326: Creating window 800 x 600
05:17:53.563: Loaded OpenGL 4.6
05:17:53.564: Init
05:17:53.565: Update
05:17:53.567: Update
05:17:53.591: Update
05:17:53.592: Update
05:17:53.609: Update
05:17:53.625: Update
05:17:53.642: Update
05:17:53.659: Update
05:17:53.675: Update
05:17:53.692: Update
05:17:53.709: Update
05:17:53.726: Update
05:17:53.742: Update
05:17:53.759: Update
05:17:53.775: Update
05:17:53.792: Update
05:17:53.808: Update
05:17:53.825: Update
05:17:53.842: Update
05:17:53.858: Update
05:17:53.875: Update
05:17:53.892: Update
05:17:53.909: Update
05:17:53.925: Update
05:17:53.942: Update
05:17:53.959: Update
05:17:53.976: Update
05:17:53.992: Update
05:17:54.009: Update
05:17:54.026: Update
05:17:54.042: Update
05:17:54.059: Update
05:17:54.076: Update
05:17:54.092: Update
05:17:54.109: Update
05:17:54.126: Update
05:17:54.143: Update
05:17:54.159: Update
